root,meaning_zh,sample_words,teaching_note
bio,生命,biology; biography; antibiotic,看到 bio 先想到生命與身體，適合連到健康與人物故事。
tele,遠,telephone; television; telescope,tele 就是遠方，電話和電視都把遠方帶到眼前。
auto,自己,automatic; autobiography; automobile,auto 跟自己有關，看到它可先猜自動或自己的意思。
photo,光,photo; photography; photosynthesis,photo 是光，照片和植物行光合作用都需要光。
port,攜帶或運送,import; export; transport,port 像把東西搬來搬去，進口出口運輸都很好記。
spect,看,inspect; respect; spectator,spect 跟看有關，檢查是往裡看，觀眾是在旁邊看。
scrib/script,寫,describe; script; prescription,script 跟寫有關，劇本和處方都是寫下來的內容。
dict,說,dictionary; predict; dictation,dict 跟說有關，字典像在告訴你字的意思。
form,形狀或形成,form; reform; transform,form 是形狀，reform 是重新形成，transform 是改變形態。
vis/vid,看見,vision; video; visible,vis 和 vid 都跟看見有關，影片和視覺很好連結。
aud,聽,audio; audience; audition,aud 跟聽有關，音訊和觀眾都需要聽。
phon,聲音,phone; microphone; phonics,phon 是聲音，phone 電話就是傳聲音的工具。
graph,寫或畫,graphic; photograph; autograph,graph 跟寫畫有關，簽名和照片都可連到記錄。
log/logy,說明或學問,biology; psychology; dialogue,logy 常表示學問，適合幫學生看懂科目名稱。
micro,小,microscope; microwave; microphone,micro 是很小，顯微鏡就是看很小的東西。
scope,看或範圍,telescope; microscope; periscope,scope 像觀看工具，也可表示範圍。
therm,熱,thermometer; thermal; thermostat,therm 跟熱有關，溫度計和保溫都可連結。
hydro,水,hydrogen; hydrate; hydroelectric,hydro 是水，適合連到喝水與水力發電。
aqua,水,aquarium; aquatic; aquaculture,aqua 也是水，水族館和水上活動很好記。
geo,地球或土地,geography; geology; geometry,geo 跟土地地球有關，地理地質都看得到。
terra,土地,territory; terrace; terrestrial,terra 是土地，常出現在地面和領土相關單字。
astro,星星或太空,astronaut; astronomy; astrology,astro 跟星空有關，太空人和天文都好理解。
solar,太陽,solar; solarium; solarize,solar 跟太陽有關，可連到太陽能。
chron,時間,chronology; chronic; synchronize,chron 跟時間有關，慢性病是拖很久的病。
temp,時間,temporary; contemporary; tempo,temp 常跟時間有關，temporary 是暫時的。
meter/metr,測量,thermometer; centimeter; geometry,meter 是測量，公分和溫度計都可以拆。
cent,一百,century; percent; centimeter,cent 是一百，世紀和百分比都很直覺。
mill,一千,millennium; millimeter; millionaire,mill 是一千，千禧年和百萬富翁都可連結。
tri,三,triangle; tricycle; trilogy,tri 是三，三角形和三輪車最容易記。
bi/bin,二,bicycle; bilingual; binary,bi 是二，雙語就是兩種語言。
uni,一,unicycle; uniform; universe,uni 是一或統一，制服就是大家看起來一致。
multi,多,multiple; multicultural; multimedia,multi 是很多，多媒體和多元文化都常見。
mono,單一,monologue; monopoly; monochrome,mono 是單一，獨白就是一個人說話。
poly,多,polygon; polyglot; polyester,poly 也是多，多邊形就是很多邊。
dem,人民,democracy; demographic; epidemic,dem 跟人民有關，民主就是人民作主。
arch,統治或主要,monarch; architect; archive,arch 有主要或管理的意思，建築師是規劃者。
anthrop,人類,anthropology; philanthropy; anthropologist,anthrop 跟人類有關，適合連到社會與文化。
